Year,Type,Location,Landings in lb,Dollar Value,Number of Trips
2002,BLUE CRAB,ATCHAFALAYA/VERMILION-TECH BASIN,"8,588,267",4926654,"21,052"
2002,BLUE CRAB,BARATARIA BASIN,"10,632,773",6436316,"28,039"
2002,BLUE CRAB,CALCASIEU RIVER BASIN,"1,347,868",951112,"5,580"
2002,BLUE CRAB,LAKE PONTCHARTRAIN BASIN,"10,154,470",7166878,"24,777"
2002,BLUE CRAB,LOUISIANA GRID 13,"10,709",8564,36
2002,BLUE CRAB,LOUISIANA GRID 14,"6,755",7578,26
2002,BLUE CRAB,LOUISIANA GRID 15,"9,962",13526,54
2002,BLUE CRAB,LOUISIANA GRID 16,"9,034",10812,53
2002,BLUE CRAB,MERMENTAU RIVER BASIN,"610,612",,
2002,BLUE CRAB,MISSISSIPPI RIVER BASIN,"2,073,101",1008136,"4,448"
2002,BLUE CRAB,SABINE RIVER BASIN,"139,779",112972,436
2002,BLUE CRAB,TERREBONNE BASIN,"16,537,380",9671809,"47,693"
2003,BLUE CRAB,ATCHAFALAYA/VERMILION-TECH BASIN,"8,371,113",5624041,"21,046"
2003,BLUE CRAB,BARATARIA BASIN,"8,664,486",5954572,"28,537"
2003,BLUE CRAB,CALCASIEU RIVER BASIN,"1,106,446",827185,"4,899"
2003,BLUE CRAB,LAKE PONTCHARTRAIN BASIN,"11,962,862",9749306,"30,084"
2003,BLUE CRAB,MERMENTAU RIVER BASIN,"674,531",,
2003,BLUE CRAB,MISSISSIPPI RIVER BASIN,"2,020,675",1067195,"3,999"
2003,BLUE CRAB,SABINE RIVER BASIN,"64,011",55511,263
2003,BLUE CRAB,TERREBONNE BASIN,"15,219,189",9921134,"48,664"
2004,BLUE CRAB,ATCHAFALAYA/VERMILION-TECH BASIN,"7,238,312",4788187,"18,928"
2004,BLUE CRAB,BARATARIA BASIN,"9,876,463",6278006,"28,757"
2004,BLUE CRAB,CALCASIEU RIVER BASIN,"1,275,018",904935,"5,516"
2004,BLUE CRAB,LAKE PONTCHARTRAIN BASIN,"11,226,080",8438408,"28,043"
2004,BLUE CRAB,MERMENTAU RIVER BASIN,"654,409",,
2004,BLUE CRAB,MISSISSIPPI RIVER BASIN,"2,188,484",1060614,"3,348"
2004,BLUE CRAB,SABINE RIVER BASIN,"89,088",73271,292
2004,BLUE CRAB,TERREBONNE BASIN,"11,834,316",7698068,"41,353"
2005,BLUE CRAB,ATCHAFALAYA/VERMILION-TECH BASIN,"7,964,790",5001685,"15,684"
2005,BLUE CRAB,BARATARIA BASIN,"8,609,277",6467519,"21,049"
2005,BLUE CRAB,CALCASIEU RIVER BASIN,"1,011,859",796973,"3,586"
2005,BLUE CRAB,LAKE PONTCHARTRAIN BASIN,"7,000,816",6118392,"16,366"
2005,BLUE CRAB,MERMENTAU RIVER BASIN,"549,636",,
2005,BLUE CRAB,MISSISSIPPI RIVER BASIN,"1,513,404",816286,"2,085"
2005,BLUE CRAB,SABINE RIVER BASIN,"84,794",87618,322
2005,BLUE CRAB,TERREBONNE BASIN,"11,353,247",7712960,"30,791"
2006,BLUE CRAB,ATCHAFALAYA/VERMILION-TECH BASIN,"11,467,658",6789871,"20,858"
2006,BLUE CRAB,BARATARIA BASIN,"10,893,183",7238685,"21,712"
2006,BLUE CRAB,CALCASIEU RIVER BASIN,"2,093,421",1196948,"4,663"
2006,BLUE CRAB,LAKE PONTCHARTRAIN BASIN,"12,254,179",7852783,"15,466"
2006,BLUE CRAB,LOUISIANA GRID 13,"33,890",31170,88
2006,BLUE CRAB,LOUISIANA GRID 14,"21,476",9448,38
2006,BLUE CRAB,MERMENTAU RIVER BASIN,"1,806,197",,
2006,BLUE CRAB,MISSISSIPPI RIVER BASIN,"2,787,535",1259574,"2,302"
2006,BLUE CRAB,SABINE RIVER BASIN,"107,327",65966,211
2006,BLUE CRAB,TERREBONNE BASIN,"11,814,802",6568030,"26,551"
2007,BLUE CRAB,ATCHAFALAYA/VERMILION-TECH BASIN,"6,830,575",5416877,"17,626"
2007,BLUE CRAB,BARATARIA BASIN,"9,027,417",7392684,"22,930"
2007,BLUE CRAB,CALCASIEU RIVER BASIN,"2,956,320",2266692,"7,275"
2007,BLUE CRAB,LAKE PONTCHARTRAIN BASIN,"12,611,408",10168413,"21,697"
2007,BLUE CRAB,MERMENTAU RIVER BASIN,"2,031,576",,
2007,BLUE CRAB,MISSISSIPPI RIVER BASIN,"1,555,349",813734,"2,555"
2007,BLUE CRAB,SABINE RIVER BASIN,"100,818",84359,254
2007,BLUE CRAB,TERREBONNE BASIN,"10,852,037",7652013,"30,371"
2008,BLUE CRAB,ATCHAFALAYA/VERMILION-TECH BASIN,"6,293,424",5148279,"15,060"
2008,BLUE CRAB,BARATARIA BASIN,"8,548,772",6467476,"18,154"
2008,BLUE CRAB,CALCASIEU RIVER BASIN,"2,532,108",1953409,"6,652"
2008,BLUE CRAB,LAKE PONTCHARTRAIN BASIN,"12,217,773",9994999,"19,898"
2008,BLUE CRAB,LOUISIANA GRID 14,"6,536",5481,15
2008,BLUE CRAB,LOUISIANA GRID 15,"15,207",7709,22
2008,BLUE CRAB,MERMENTAU RIVER BASIN,"1,655,488",,
2008,BLUE CRAB,MISSISSIPPI RIVER BASIN,"1,065,437",608863,"1,643"
2008,BLUE CRAB,SABINE RIVER BASIN,"12,632",13508,36
2008,BLUE CRAB,TERREBONNE BASIN,"12,297,071",8840607,"25,892"
2009,BLUE CRAB,ATCHAFALAYA/VERMILION-TECH BASIN,"7,568,160",5958274,"19,448"
